attention,meditation,delta,theta,lowAplha,highAlpha,lowBeta,highBeta,lowGamma,highGamma,event
10,8,908732,378987,54326,25269,13528,5888,4326,1837,U
14,14,355633,46807,8524,18767,11382,3552,2179,1007,U
35,29,1162516,61851,28837,8244,54445,13271,4252,4884,U
38,37,654686,39068,2097,7987,3807,3216,1980,822,U
50,40,272290,39477,7205,4078,2631,1788,760,209,U
35,40,687392,380366,100620,49128,14896,7041,2174,1462,U
35,47,1694094,48022,17513,24736,8434,12807,905,438,U
14,41,687458,474383,42064,23168,4997,5718,3029,1254,U
7,40,688632,240661,41548,29176,49738,4923,2551,1710,U
14,21,199071,165392,4961,8130,4301,4906,2086,383,U
1,1,476081,357648,10297,8648,13244,6919,2489,1714,U
1,1,219070,61649,3342,4901,2028,1607,696,428,U
14,1,812660,339024,40633,54299,8965,21353,4111,1061,U
14,1,711279,141412,3527,11725,3519,4142,3065,841,U
30,30,44747,20228,34811,4163,10195,5434,3593,1401,U
11,17,447960,684465,49554,19579,46430,8743,3176,2049,D
1,16,592841,196619,37943,35870,18767,2668,3341,2025,D
7,16,532926,46548,4802,13580,8236,4764,3185,3357,D
3,27,60956,67533,28621,13906,4452,5548,7973,2059,D
11,63,201599,41935,14520,45175,13257,4367,2324,1342,D
14,64,858416,221815,82159,19449,26675,5572,6921,1643,D
10,61,142695,56930,9070,8461,6248,3045,4450,4438,D
10,70,193917,51996,49454,23671,6732,6644,3464,2698,D
10,50,249903,37837,2177,6042,1315,1697,1023,303,D
21,61,55214,30797,5809,28436,4580,8731,2466,2199,D
24,74,59551,15081,8076,2601,1918,1911,1604,577,D
